# x_m,y_m,w_tr_right_m,w_tr_left_m
124.694482,98.56739720000002,7.654,7.646
125.476255,97.9427518,7.652,7.648
126.24675620000001,97.30382200000001,7.651,7.649
127.00581700000001,96.65099320000002,7.642,7.658
127.75326840000001,95.9846502,7.582,7.718
128.4889416,95.30517760000001,7.522,7.778
129.21266780000002,94.61296060000001,7.473,7.827
129.92427800000002,93.9083842,7.541,7.759
130.6236036,93.1918332,7.61,7.69
131.3104756,92.46369240000001,7.683,7.617
131.9847252,91.7243468,7.78,7.52
132.6461834,90.9741814,7.878,7.422
133.2946818,90.21358120000001,7.975,7.325
133.93003960000001,89.4429168,8.072,7.228
134.5518654,88.6622994,8.17,7.13
135.15958,87.87161,8.254,7.046
135.7525978,87.07072160000001,8.124,7.176
136.3303338,86.2595076,7.993,7.307
136.8922024,85.437841,7.862,7.438
137.43761800000001,84.6055948,7.732,7.568
137.9659956,83.7626426,7.752,7.548
138.4767494,82.9088574,7.865,7.435
138.9692944,82.0441122,7.979,7.321
139.44304480000002,81.16828040000001,8.092,7.208
139.8974154,80.28123500000001,8.056,7.244
140.3318208,79.38284920000001,7.927,7.373
140.7457788,78.4730866,7.798,7.502
141.1397198,77.55271040000001,7.669,7.631
141.51454940000002,76.6229,7.541,7.759
141.87117740000002,75.6848386,7.546,7.754
142.21051359999998,74.73970920000001,7.583,7.717
142.5334678,73.788695,7.619,7.681
142.8409306,72.8329714,7.655,7.645
143.1327114,71.8732746,7.692,7.608
143.4069926,70.9096796,7.729,7.571
143.6618218,69.9422066,7.777,7.523
143.8952466,68.970876,7.825,7.475
144.1053144,67.9957084,7.871,7.429
144.2900936,67.016726,7.914,7.386
144.4488182,66.0340738,7.957,7.343
144.58248260000002,65.0480814,7.949,7.351
144.692228,64.05909360000001,7.929,7.371
144.7791956,63.067455800000005,7.908,7.392
144.8445262,62.07351260000001,7.875,7.425
144.889361,61.0776092,7.841,7.459
144.9151588,60.0800842,7.8,7.5
144.9248942,59.0812456,7.734,7.566
144.9219932,58.081392400000006,7.668,7.632
144.9098824,57.0808234,7.602,7.698
144.8919878,56.0798378,7.537,7.763
144.87173560000002,55.0787346,7.471,7.829
144.85245440000003,54.07780400000001,7.428,7.872
144.83558960000002,53.077172399999995,7.458,7.842
144.82089100000002,52.076818200000005,7.488,7.812
144.80804700000002,51.0767146,7.518,7.782
144.79674640000002,50.07683420000001,7.549,7.751
144.7866774,49.0771506,7.579,7.721
144.7775286,48.077636600000005,7.609,7.691
144.768989,47.0782654,7.639,7.661
144.760747,46.0790098,7.669,7.631
144.75249100000002,45.0798432,7.699,7.601
144.7439098,44.080738600000004,7.729,7.571
144.7346918,43.0816688,7.759,7.541
144.724526,42.082607200000005,7.789,7.511
144.71318920000002,41.083533200000005,7.819,7.481
144.700694,40.084445,7.849,7.451
144.687092,39.085343,7.86,7.44
144.6724348,38.0862278,7.853,7.447
144.6567742,37.0871,7.846,7.454
144.64016160000003,36.0879606,7.839,7.461
144.62264860000002,35.0888098,7.831,7.469
144.6042868,34.0896486,7.824,7.476
144.58512800000003,33.0904774,7.817,7.483
144.5652234,32.09129720000001,7.81,7.49
144.5446252,31.0921084,7.803,7.497
144.52338440000003,30.092911600000004,7.796,7.504
144.501553,29.093707600000002,7.789,7.511
144.4791826,28.094497000000004,7.782,7.518
144.4563246,27.095280400000004,7.775,7.525
144.43303060000002,26.096058799999998,7.768,7.532
144.4093522,25.0968324,7.761,7.539
144.3853414,24.097602000000002,7.754,7.546
144.3610492,23.0983682,7.747,7.553
144.3365278,22.099132,7.74,7.56
144.3118282,21.0998936,7.733,7.567
144.28700260000002,20.100654000000002,7.726,7.574
144.26210220000002,19.1014136,7.718,7.582
